事件标题,时间,城市,链接,罪种,置信度
Bombeiros localizam corpo de homem que se afogou em Bernardo Sayão,2026-06-22T15:02:21+00:00,TO / Bernardo Sayão / Zona Rural,https://g1.globo.com/to/tocantins/noticia/2026/06/22/bombeiros-localizam-corpo-de-homem-que-se-afogou-em-bernardo-sayao.ghtml,outros,95
Justiça mantém prisão de militar que atropelou e matou motociclista em Campo Grande,2026-06-22T15:01:53+00:00,MS / Campo Grande / Centro,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2026/06/22/justica-mantem-prisao-de-militar-que-atropelou-e-matou-motociclista-em-campo-grande.ghtml,homicidio,100
Servidora municipal é morta a tiros no interior da Bahia; suspeito foi preso em flagrante,2026-06-22T14:58:47+00:00,BA / Campo Alegre de Lourdes / Zona Rural,https://g1.globo.com/ba/bahia/noticia/2026/06/22/servidora-municipal-e-morta-a-tiros-no-interior-da-bahia-suspeito-foi-preso-em-flagrante.ghtml,homicidio,95
"Mãe, padrasto e tio são presos em flagrante após criança de 8 anos morrer com tiro em casa em Natal",2026-06-22T14:58:19+00:00,RN / Natal / Guarapes,https://g1.globo.com/rn/rio-grande-do-norte/noticia/2026/06/22/presos-caso-crianca-morte-tiro-casa-natal.ghtml,homicidio,100
Aeronave cai em área rural do Paraná,2026-06-22T14:56:43+00:00,PR / Marialva / Área rural,https://g1.globo.com/pr/norte-noroeste/noticia/2026/06/22/queda-aviao-parana.ghtml,outros,100
"Barco de madeira afunda no Rio Iriri, em Altamira, e piloto sobrevive",2026-06-22T14:55:15+00:00,PA / Altamira / Desvio Terra Firme,https://g1.globo.com/pa/para/noticia/2026/06/22/barco-de-madeira-afunda-no-rio-iriri-em-altamira-e-piloto-sobrevive.ghtml,outros,100
"Homem mata mulher e diz à polícia que tentava 'expulsar demônios', na Serra",2026-06-22T14:55:13+00:00,ES / Serra / Jardim Limoeiro,https://g1.globo.com/es/espirito-santo/noticia/2026/06/22/homem-mata-mulher-e-diz-a-policia-que-tentava-expulsar-demonios-na-serra.ghtml,homicidio,100
Mulher é sequestrada durante assalto à salão de beleza em São Paulo #HojeEmDia #Shorts - R7,2026-06-22T14:55:09+00:00,SP / São Paulo,https://news.google.com/rss/articles/CBMixwFBVV95cUxOMlFra2dKN0dkSEd0NXdWNjBhRHBnNE1IWHphZE5oVkxlaHBrb29vTVhISnY3bXoyZU4xcjlJSlp6YmJ1WXI5OFVjblBUek1hQkJmSW9MamQ1amVVc1N5azl0eVlHSU5scU1zLUo1RGFoZmFsLWZoNzNsOE9naURaQVNxMFNhejVJbjRDWDBsbG9FNUNwY3pvZ2dxOG94UkluRkdvZjBWOWd2QzZlcV9oSnZHQXJqTEZYVU5tTDc4R1pFUG9Ed1lZ?oc=5,sequestro,95
"PM combate perturbação do sossego e crimes de trânsito na avenida Segismundo Pereira, em Uberlândia",2026-06-22T14:55:04+00:00,MG / Uberlândia,https://g1.globo.com/mg/triangulo-mineiro/noticia/2026/06/22/pm-combate-perturbacao-do-sossego-e-crimes-de-transito-na-avenida-segismundo-pereira-em-uberlandia.ghtml,policia,95
Polícia indicia colombiana que ofereceu banana a capoeirista na Rocinha,2026-06-22T14:51:41+00:00,RJ / Rio de Janeiro / Rocinha,https://g1.globo.com/rj/rio-de-janeiro/noticia/2026/06/22/policia-indicia-colombiana-banana-capoeirista-rocinha.ghtml,policia,95
Vereador de Divinópolis é suspeito de agredir homem com garrafa após desentendimento em casa noturna,2026-06-22T14:51:30+00:00,MG / Divinópolis,https://g1.globo.com/mg/centro-oeste/noticia/2026/06/22/vereador-de-divinopolis-e-suspeito-de-agredir-homem-com-garrafa-apos-desentendimento-em-casa-noturna.ghtml,violencia,95
Amazonas registra prisões por roubo em Manaus e investigação sobre corpo em decomposição em Itacoatiara (vídeo) - Radar Amazônico,2026-06-22T14:51:08+00:00,AM / Manaus,https://news.google.com/rss/articles/CBMi1wFBVV95cUxQT19YMGZsb1E0TzFObTVBejF0UlB6bFVZbHVTdm5JYkxpd2p6NjhfNjdtS20xX3FGcDJGb3hZOTZTQ042VE5rWnlzaDJ5cWktYkQ3azdfZWh5aTZEUk04YURRS1FKbUluZlRRemZXQVVwX203d2w1SGZmZWhNRHQ3NDM2ZWZJZUNnWE9lbjBrZk9mYW9mZVplTlZHS1pqNmZnTFg3Z0dIZGR1X01tcDRMOVR5anBGSDFmdXp3SzZ0bHAwLTEtNGNxME1BeWgwTWJyRWxZRHJZbw?oc=5,homicidio,100
Homem é preso com arma e drogas em Paracambi,2026-06-22T14:50:58+00:00,RJ / Paracambi / Vila São José,https://g1.globo.com/rj/sul-do-rio-costa-verde/noticia/2026/06/22/homem-e-preso-com-arma-e-drogas-em-paracambi.ghtml,trafico,95
PM reage a assalto e mata suspeito em Pelotas - G1,2026-06-22T14:48:19+00:00,RS / Pelotas,https://news.google.com/rss/articles/CBMizwFBVV95cUxNdDNjMVpNamJaa0FNRElxaEZ1aGstdXNubHNWejNiNjNZVGhadmZ0aDBnZlNzYjNwb0E0U212TnlNeDVYRWtacDY2bElCejkxUWNRWGtFdUxZM0FPOEpkdkpydEs2Tmd2eGRqckVkenVuTlBFbkxtMXhHbWd5UUdUN3U4NjZSRHVjNXRZb2w0UWhaeUJ6Y3lzaTFPNmlxaHNESm9nb201QTdUMVlKal9PU09Qem9tUnBpRFFadU9XVGdBX0xHT3ZNZTdiVDRSWkXSAd4BQVVfeXFMTzd3TXdIcmU3c1NJQWpJbDRWdm0wdDcxdmZ6QmtDWG5aeDI1dmdVZzlBUGtxYU1rR0hGeV8zMUxSelZabWR3N3pJTXBiN2ltTkdXbDI3ektNSVFwaTJZd3dPbVFBeWlveVZjNzJmUS1adk1OUGJBTklKTzBSaDFNUjQ5RDY5Y256Z3QwOGt6cklCQU5YM1BRdW9Say1uQ2NDQzJtQW51bWxmWWJjNGQzTjJ1MlRQajhpc1J2UlV2OUoxbktLb2FDRzZYc0xZejVhUE9zdDZpUk5ETkxrb3RR?oc=5,homicidio,95
"Filhote de baleia cachalote é encontrado morto em praia de Carutapera, no Maranhão",2026-06-22T14:44:18+00:00,MA / Carutapera / Praia do Remanso Grande,https://g1.globo.com/ma/maranhao/noticia/2026/06/22/filhote-de-baleia-cachalote-e-encontrado-morto-em-praia-de-carutapera-no-maranhao.ghtml,outros,100
Caso Gritzbach: júri de PMs acusados de matar delator do PCC ouve sobreviventes e viúva de vítima de ataque em Guarulhos,2026-06-22T14:41:14+00:00,SP / Guarulhos / Aeroporto Internacional de São Paulo,https://g1.globo.com/sp/sao-paulo/noticia/2026/06/22/caso-gritzbach-juri-de-pms-acusados-de-matar-delator-do-pcc-ouve-primeiras-testemunhas-em-guarulhos.ghtml,homicidio,95
Suspeito de tentativa de assalto é baleado na cabeça durante reação de vítima na Pampulha - Impactto News,2026-06-22T14:41:10+00:00,MG / Belo Horizonte / Pampulha,https://news.google.com/rss/articles/CBMizgFBVV95cUxNZVZMbVhvWGhhSHFkR3RnX21oT0EzZUUwbnc0Ym5jWTdUdXFsTm4za1hDaFR4RFZza2tqSkZtNTFtMmgwY0ZQOHR4bDlXVmp0MmtTX3hSNUcydHE1MGw4enFTREZsa0o3dEhmdHFQMmdmLTVRUnFxOEloLW1MZGZTYUUwb0RxX3RVUlptdGw0TlM5R1pXSFNPLUNDaXFJNUhvQll1UjVHZjIxRzJPRG0yaVEwYWNSMHA3ME9tOV9zalZIamcxTWx3QWk0UG5Qdw?oc=5,roubo,90
Bebê de um ano morre no Paraná após carro da família capotar e parar a mais de 60 metros da rodovia,2026-06-22T14:41:01+00:00,PR / Nova Prata do Iguaçu,https://g1.globo.com/pr/oeste-sudoeste/noticia/2026/06/22/bebe-de-um-ano-morre-no-parana-apos-carro-da-familia-capotar-e-parar-a-mais-de-60-metros-da-rodovia.ghtml,veiculo,95
Operação prende grupo investigado por matar jovem por engano em MT,2026-06-22T14:40:48+00:00,MT / Jaciara,https://g1.globo.com/mt/mato-grosso/noticia/2026/06/22/operacao-alvo-errado-e-deflagrada-para-investigar-morte-de-jovem-confundido-com-integrante-de-faccao-criminosa.ghtml,homicidio,100
Duas pessoas são encontradas mortas dentro de casa em Colinas,2026-06-22T14:38:34+00:00,TO / Colinas do Tocantins / Santo Antônio,https://g1.globo.com/to/tocantins/noticia/2026/06/22/duas-pessoas-sao-encontradas-mortas-dentro-de-casa-em-colinas.ghtml,homicidio,100
Balneabilidade: Áreas alagadas na Praia de Ponta Negra têm alta concentração de coliformes e risco de contaminação,2026-06-22T14:35:16+00:00,RN / Natal / Ponta Negra,https://g1.globo.com/rn/rio-grande-do-norte/noticia/2026/06/22/balneabilidade-areas-alagadas-na-praia-de-ponta-negra-tem-alta-concentracao-de-coliformes-e-risco-de-contaminacao.ghtml,outros,100
Casal de inquilinos é preso suspeito de matar morador em casa de MT; presos alegam que homem cometeu estupro,2026-06-22T14:33:36+00:00,MT / Tangará da Serra,https://g1.globo.com/mt/mato-grosso/noticia/2026/06/22/casal-de-inquilinos-e-preso-suspeito-de-matar-morador-em-casa-de-mt-presos-alegam-que-homem-cometeu-estupro.ghtml,homicidio,100
Quadrilha especializada em roubos de cargas de medicamentos é presa no Rio - UOL Notícias,2026-06-22T14:28:39+00:00,RJ / Rio de Janeiro,https://news.google.com/rss/articles/CBMilwJBVV95cUxPLUdpbzVOTmZvaUd4NzVGb212VS1SQ2FLODh6T0twU2xBLWtlT19IbjhJa3FaakJGYlp6c0pHZW1vZ292bnBMR1ZBVkdKbmlSMFZPbmVDTXhtdjFaVU5XUUZGZ1dVYWEyNk1RdHF6Y1lweWVFd09kc0lJUnJqc2J4blBPZy1xbDhvVnRHSl9raGdRUmQ1c3FZUmxpQ2dBOWt2S3lEa0hsMG9kdTZVQWNNNmJJNjFmdVF0QVRVLWhTSVJiRzFURlVRdmxwOEhMRXVybXF6LWhELVRKQkhYUlMydGxXeEEzUEtpT1ZHVzZHM0NZSHFRQUt5am1VUWFMZ0Jnal9ycm5iS0pFazFpalhsZWNjdGpDWDA?oc=5,policia,90
Ônibus com carga de contrabando é apreendido pela polícia em Florínea,2026-06-22T14:28:15+00:00,SP / Florínea,https://g1.globo.com/sp/bauru-marilia/noticia/2026/06/22/onibus-com-carga-de-contrabando-e-apreendido-pela-policia-em-florinea.ghtml,policia,95
Motorista bêbado e sem CNH é preso após bater em moto e matar motoboy em Itupeva,2026-06-22T14:25:06+00:00,SP / Itupeva / Jardim Vitória,https://g1.globo.com/sp/sorocaba-jundiai/noticia/2026/06/22/motorista-bebado-e-sem-cnh-e-preso-apos-bater-em-moto-e-matar-motoboy-em-itupeva.ghtml,homicidio,95
"Casal é preso com quase 80 kg de drogas em Pindamonhangaba, SP",2026-06-22T14:22:04+00:00,SP / Pindamonhangaba,https://g1.globo.com/sp/vale-do-paraiba-regiao/noticia/2026/06/22/casal-e-preso-com-quase-80-kg-de-drogas-em-pindamonhangaba-sp.ghtml,trafico,95
Jovem desaparecido é encontrado morto e enterrado em terreno de MS,2026-06-22T14:21:08+00:00,MS / Três Lagoas,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2026/06/22/jovem-desaparecido-e-encontrado-morto-e-enterrado-em-terreno-de-ms.ghtml,homicidio,100
Homem é atropelado após esfaquear cliente de bar e tentar fugir em Araguari,2026-06-22T14:20:25+00:00,MG / Araguari / Novo Horizonte,https://g1.globo.com/mg/triangulo-mineiro/noticia/2026/06/22/homem-e-atropelado-apos-esfaquear-cliente-de-bar-e-tentar-fugir-em-araguari.ghtml,violencia,95
Homem é preso suspeito de tentar matar filho recém-nascido e agredir companheira no interior de SP,2026-06-22T14:13:29+00:00,SP / Laranjal Paulista / Vila Zalla,https://g1.globo.com/sp/itapetininga-regiao/noticia/2026/06/22/homem-e-preso-suspeito-de-agredir-recem-nascido-e-companheira-no-interior-de-sp.ghtml,homicidio,100
Mãe e filhas mortas na BR-285: mulher levava jovem de volta para casa quando sofreu acidente,2026-06-22T14:12:14+00:00,RS / Porto Alegre,https://g1.globo.com/rs/rio-grande-do-sul/noticia/2026/06/22/mae-e-filhas-mortas-na-br-285-mulher-levava-jovem-de-volta-para-casa-quando-sofreu-acidente.ghtml,homicidio,90
"Como Brasil, EUA e Bolívia se uniram em operação que apreendeu uma das maiores cargas de cocaína líquida do país",2026-06-22T14:11:32+00:00,MT / Cáceres,https://g1.globo.com/mt/mato-grosso/noticia/2026/06/22/como-brasil-eua-e-bolivia-se-uniram-em-operacao-que-apreendeu-uma-das-maiores-cargas-de-cocaina-liquida-do-pais.ghtml,trafico,100
Casal é preso com mais de 9 mil pinos de cocaína em pedágio na SP-255 interior de SP,2026-06-22T14:08:50+00:00,SP / Boa Esperança do Sul,https://g1.globo.com/sp/sao-carlos-regiao/noticia/2026/06/22/casal-e-preso-com-mais-de-9-mil-pinos-de-cocaina-em-pedagio-na-sp-255-interior-de-sp.ghtml,trafico,100
"Drogas escondidas em caixa de presente são apreendidas pela PRF na BR-101, em Campos",2026-06-22T14:05:43+00:00,RJ / Campos dos Goytacazes,https://g1.globo.com/rj/norte-fluminense/noticia/2026/06/22/drogas-escondidas-em-caixa-de-presente-sao-apreendidas-pela-prf-na-br-101-em-campos.ghtml,trafico,95
Foragido da Justiça é preso durante investigação de suposto sequestro de criança em Barra Mansa,2026-06-22T14:05:26+00:00,RJ / Barra Mansa,https://g1.globo.com/rj/sul-do-rio-costa-verde/noticia/2026/06/22/foragido-da-justica-e-preso-durante-investigacao-de-suposto-sequestro-de-crianca-em-barra-mansa.ghtml,policia,85
Senai Araripina abre 200 vagas gratuitas em cursos de qualificação,2026-06-22T14:04:59+00:00,PE / Araripina,https://g1.globo.com/pe/petrolina-regiao/noticia/2026/06/22/senai-araripina-abre-200-vagas-gratuitas-em-cursos-de-qualificacao.ghtml,outros,100
VÍDEO: Tio é suspeito de matar sobrinho após desentendimento em festa no Acre,2026-06-22T14:03:57+00:00,AC / Sena Madureira / Seringal Porongaba,https://g1.globo.com/ac/acre/noticia/2026/06/22/video-tio-e-suspeito-de-matar-sobrinho-apos-desentendimento-em-festa-no-acre.ghtml,homicidio,100
Suspeitos de integrar quadrilha de roubo de medicamentos são presos em Caxias e no Rio - Tribuna do Sertão,2026-06-22T14:00:00+00:00,RJ / Duque de Caxias,https://news.google.com/rss/articles/CBMi5AFBVV95cUxOZWNWaEJHakdZSXlldTI2S3hfckpjSG1QcE9mTEstRmc1OHRBR3hTODBicFE1bkZKSFBieTlfNlY0WFgzVUlHSlNBOTZVYTM2bVM2OGRpZXktN2ZEMC0wV2JjQnNNbm5Wbm5MNkdvV05nUDdJWmJQa2dpNjRWVXM3TkZHNzJVZ2MzLTFzZ2YwNXQ4cXN2cVFXVlQwTlh0R1JWemkwd25HY0lHOTZ0UlUtbG9TNjVBQlc4SmhVU093aVA3am1hX3lwTUExNUxtQ0VEZFhJdzVvcmlLcTVuU0s2Mm92SzQ?oc=5,roubo,95
"Motorista morre após caminhão tombar na BR-163, em Itaituba, no PA",2026-06-22T13:59:39+00:00,PA / Itaituba / Moraes Almeida,https://g1.globo.com/pa/para/noticia/2026/06/22/motorista-morre-apos-caminhao-tombar-na-br-163-em-itaituba-no-pa.ghtml,homicidio,95
Primos morrem após terem moto atingida por carro e caminhão em rodovia do Paraná,2026-06-22T13:59:38+00:00,PR / Pitanga,https://g1.globo.com/pr/campos-gerais-sul/noticia/2026/06/22/primos-morrem-apos-terem-moto-atingida-por-carro-e-caminhao-em-rodovia-do-parana.ghtml,homicidio,85
Sequestro em SP: o que se sabe sobre o caso de mulher levada por criminosos após assalto a salão de beleza na Vila Sônia - O Globo,2026-06-22T13:58:15+00:00,SP / São Paulo / Vila Sônia,https://news.google.com/rss/articles/CBMilAJBVV95cUxNQ3VlWjRLQkVtcGM4OUJKMlJIR1JwZ0Z3ZWVVUUNpOE5kb1N4MkprekJ5MFRnbU5XNnBLaWR5Si1Rdzcxd296YlZNUDNoTTBENDJZczdrUzE0NV91QmFsc1JBM0V5WHExZEdZT0MySGhTYjItSTRfc3BFdzFZbGpSLWtOeF96aHozQXVxVHRQUmxpOU1EdVluNHlEZTFaSE9fQ3NyN3VmNWpWRGRvdlltdDI3SU5sQUdKbTJUdzJZdFRPM0tSYUVQY3drb1BWVTBxaEtGWEFpeXlOWWZKeGFQTTRYVHdWVkVDMGR5bU9XOXl1cWpHRzROY2hidWJza3Etb1phLXZxTWR5c0VtcVVjUEdxLTbSAaMCQVVfeXFMT0g0TjNJa2JudmdyUUdWUG1UQTZTcThVbWJaQllDTmNucV9MdkVrOVRfeGlENmJrM0xzV085Vkx5RHZqTWZaSkR1Z3JOcm52b3lUNmZLQUdranNxNnlIckNiZ3FsYTdHNE9nYXVudUhfdWJpVWRZdWFsTi1TNUZ0VHFsejFra0RaaDctYXlQNEpEbk9nRWZHQXJKVUllamhJWTBhdmdtbUZyRURZTGlhMlViQVgwVzIxcWEyNWZqWU1JSE85NW1QUUE2Vmx3c0xoWE1CM1RyVV9yYVdrbGFuNHlOd21tVjRneEN2RmdpSUphSUtoRTFzUDlSeEx1clhNWXRmYkk3Q0FqUTRrU0dnbURwR18xOVpmRFVEUFNYRWhHeDhz?oc=5,sequestro,100
"Rebelião que terminou com dois presos mortos começou após visitantes terem entrada barrada, diz Polícia Civil",2026-06-22T13:57:31+00:00,SP / Potim,https://g1.globo.com/sp/vale-do-paraiba-regiao/noticia/2026/06/22/rebeliao-em-presidio-de-potim-comecou-apos-visitantes-terem-entrada-barrada-diz-policia-civil.ghtml,homicidio,95
"Médica, enfermeira e paciente ficam feridas em acidente entre ambulância e carro na BR-262",2026-06-22T13:56:47+00:00,ES / Domingos Martins,https://g1.globo.com/es/espirito-santo/noticia/2026/06/22/medica-enfermeira-e-paciente-ficam-feridas-em-acidente-entre-ambulancia-e-carro-na-br-262-no-es.ghtml,veiculo,95
"Empresário morre após ser atropelado por motorista bêbado enquanto pedalava em rodovia, diz polícia",2026-06-22T13:55:32+00:00,GO / Rio Quente,https://g1.globo.com/go/goias/transito/noticia/2026/06/22/empresario-morre-apos-ser-atropelado-por-motorista-bebado-enquanto-pedalava-em-rodovia-diz-policia.ghtml,homicidio,95
Suspeito de roubo milionário a joalheria no RJ é preso em BH e pode estar ligado a furto de jet ski - R7,2026-06-22T13:52:50+00:00,RJ / Rio de Janeiro,https://news.google.com/rss/articles/CBMi3wFBVV95cUxOVWxOZ0xZMlpKLXN6LVNTQnhMU0JiQWh5bEthOW1CXzg5MWQtQm5aZmpoX3hYcjVjUEphVy1sR0JyZmZQLWF5QXFzbUYzSTR5Y1Q1UURHTmQtQ0JPWndBNlEwRUk2dDdZVjhkWDlRc0dWd3JvVjJGZ3hURW9jU0N0WjNiY1N6RjdvVmdGdWdGbHlvaGdEalQtT0VwNHJkUmpuaDQyV0hBc3RVR09Ec2RMakhiMEE4RGZxSmh1R0JSTk02b0hJdE1SZTAyMW12YVYzNlc4OE9pdEM4YjBuUFhv?oc=5,roubo,95
Polícia Civil prende três homens acusados de roubo de carga de medicamentos no Rio - O São Gonçalo - O São Gonçalo,2026-06-22T13:52:45+00:00,RJ / Rio de Janeiro,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNLUFTSDNVQjFhN3BmYjFBMFlxMWdsUXY3T1BZYU1nWXR5V1I2RGpLV3Fvc2FveXlFOVBZVWVHWG83ZERJcjB2eWZqRUdpYW1wd3diTlZxX0M2ZjczVlMzUWVDUUNPenRLZjlQcnE0RlpqRGloNHFzT0poVHJicWU0cGhtZDY2RGhxejllbkhnRE5SZnZJa21EMi16YTRWMXRvYTBIdHhxWElSQXhDMFZXU2Z5NkxiaERxUm1ZU1RWT0VvV1ZiSDJpbnJqYkY5andJb1MxNtIB3AFBVV95cUxNVkJjeDFFMFlRZHVkRGtIV3VWTG4ybmpVLTV1SzFuajNxRDFwZlFpS01MUUN4RnAyNTBXNmRPNG80MTZRQVZNOUpLZW14dnE0TGZNOUZ2VXNDamhfdVk1YmhuczlHeUo5M1RKUWdTOW9KUnZjNTJQRm5XMHhFUlYzZzVNVmxyNTg5ZFVhVExpVllUa1Vva1Z1b2hELTdiYldTSi0yTTI4SURrekppNjhBQWhaYTU2S2dtaVczR1dsb3h5MFV2WW1YUU5zUDNLYmRDSF9GQVNVMmkzb3N3?oc=5,policia,95
Receita federal apreende 21 toneladas de produto usado na fabricação de cocaína na fronteira com a Bolívia,2026-06-22T13:50:23+00:00,MS / Corumbá,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2026/06/22/receita-federal-apreende-21-toneladas-de-produto-usado-na-fabricacao-de-cocaina-na-fronteira-com-a-bolivia.ghtml,trafico,95
Apontado como líder do tráfico em Campo Grande é executado a tiros - msemfoco.com.br,2026-06-22T13:37:09+00:00,MS / Campo Grande,https://news.google.com/rss/articles/CBMipgFBVV95cUxOalUycHFtRzJtc1pZUDZGbTN4bHNVVkxwbEpveUtxbDAxN2pQdDlBbUZUMHZGZ1ZENVV0SW9MZElCSlI5cGMtTXR2WXZWQW5vbGVqTm5tRVVabUMtb0IxaTNpOTkxcnNORWhnVWdiOWZ6dVBHZXdPZmVEandscGdWMU5HSEVBLUs1ZmhpQTFLbEN4SlhqSUY3dkNKT0lGNnktbHp5R3Rn?oc=5,homicidio,100
"Homem preso com R$ 1 milhão em Teresina havia solicitado três saques de grandes quantias, diz investigação",2026-06-22T13:33:10+00:00,PI / Teresina / Centro,https://g1.globo.com/pi/piaui/noticia/2026/06/22/homem-preso-com-r-1-milhao.ghtml,fraude,95
Adolescente é morto após roubo em Olinda; suspeito de 15 anos é apreendido com arma e munições - Folha PE,2026-06-22T13:28:25+00:00,PE / Olinda,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOSThQVE5qTzR6U1FuOEhkLU9MUUh3elBnTjNtRWdfV2s3MGU1MlllU2hDUnZTQ0Q3QVVZQWJ1SlJBVFB0bFJ1QXZwQmZrbk9tZWQ3TG9MV0ViUC1mZ21CbjhrRV9hVGtBSXZjaXAtaGhiVDhLY1hDdmQ4dWRDbzQwdEJndFRQekdwQnRfSnFZRldGR0VmazNrdTNaa0tNMGc5aTB4UU0ybVdjd9IBrgFBVV95cUxPR1lqalBmckM0cDZ0MGhPbGNtS1RsUXg3QWR0Z1lEZkNHSkVJbnRpX25zTHNOeW5vSUNNRzJWM0hJYTlIR0p5TmFRU2phQXZrcG1HcXh1UVBSNjdvRGQ5eGJDeFJtckM5aHp4cWlTUUdnUXN5VGt0ZmN3dUNIY0dkNmJkZDhXamhlVTJXUmF1UF92VGVHZkNDLVhMOWdwQU11bDFHT0lQeTk3TENUWUE?oc=5,homicidio,95
Casal morre após moto ser atingida e arrastada por caminhão na Grande Natal,2026-06-22T13:28:16+00:00,RN / Monte Alegre,https://g1.globo.com/rn/rio-grande-do-norte/noticia/2026/06/22/acidente-moto-caminhao-monte-alegre-grande-natal.ghtml,homicidio,95
Prefeitura de Manaus firma contrato de R$ 251 mil sem licitação para treinar comunicação de gestores,2026-06-22T13:26:34+00:00,AM / Manaus,https://g1.globo.com/am/amazonas/noticia/2026/06/22/prefeitura-de-manaus-firma-contrato-de-r-251-mil-sem-licitacao-para-treinar-comunicacao-de-gestores.ghtml,fraude,85
MACEIÓ - Guarda Municipal de Maceió Frustra Assalto e Prende Suspeitos em Flagrante na Serraria - Repórter Maceió,2026-06-22T13:26:04+00:00,AL / Maceió / Serraria,https://news.google.com/rss/articles/CBMixwFBVV95cUxNR2F5R2VNWjBqb3NjekJFSGN4cGxHZjlUTkR5d3Z0TzU4SnJreGN1RXZYeFlCRkN5bFU2U0ZEOXpwdDBHbmwxXzJMSkNJbG9ScjRWMzc2bWtROENPOU5kTDhRQW9udkxWbk1jNUNZWVNGZkRyZHdOLTM3ZGx4UTNMdzEzYTFlM2pzc2h2SHBleTNSMWNiQ3VrWWVIVTlYbHNhRUotTFpQblFaeElKVFNadExjdVQ2WktCajB3NU1wTTZjWWxJRkY4?oc=5,policia,95
Homem foragido condenado por roubo é preso na zona rural de Timon,2026-06-22T13:22:04+00:00,MA / Timon / Lagoa Grande,https://g1.globo.com/ma/maranhao/noticia/2026/06/22/homem-foragido-condenado-por-roubo-e-preso-na-zona-rural-de-timon.ghtml,policia,95
Homem é preso por descumprir medida protetiva no MA; ele ameaçou a filha por abrigar a mãe,2026-06-22T13:16:44+00:00,MA / Parnarama,https://g1.globo.com/ma/maranhao/noticia/2026/06/22/homem-e-preso-por-descumprir-medida-protetiva-no-ma-ele-ameacou-a-filha-por-abrigar-a-mae.ghtml,policia,95
Três pessoas morrem após colisão entre carros de passeio em rodovia de MT,2026-06-22T13:16:12+00:00,MT / Rosário Oeste,https://g1.globo.com/mt/mato-grosso/noticia/2026/06/22/tres-pessoas-morrem-apos-colisao-entre-carros-de-passeio-em-rodovia-de-mt.ghtml,outros,95
Jovem é morto a facadas após discussão em posto de combustíveis em Dianópolis,2026-06-22T13:14:05+00:00,TO / Dianópolis,https://g1.globo.com/to/tocantins/noticia/2026/06/22/jovem-e-morto-a-facadas-apos-discussao-em-posto-de-combustiveis-em-dianopolis.ghtml,homicidio,100
Motorista bêbado atinge duas motos durante ultrapassagem e mata motociclistas em rodovia de MG,2026-06-22T13:13:52+00:00,MG / Sacramento,https://g1.globo.com/mg/triangulo-mineiro/noticia/2026/06/22/motorista-bebado-atinge-duas-motos-durante-ultrapassagem-e-mata-motociclistas-em-rodovia-de-mg.ghtml,homicidio,95
Moradores denunciam cobrança de até R$ 500 pelo tráfico para liberar acesso à água e outros serviços em comunidade de Vargem Grande,2026-06-22T13:12:14+00:00,RJ / Rio de Janeiro / Vargem Grande,https://g1.globo.com/rj/rio-de-janeiro/bom-dia-rio/noticia/2026/06/22/moradores-denunciam-cobranca-do-trafico-em-vargem-grande.ghtml,faccao,90
Classificados do Edimilson: veja as vagas de emprego da semana de 22 a 26 de junho,2026-06-22T13:10:44+00:00,RJ / Rio de Janeiro / Zona Sul,https://g1.globo.com/rj/rio-de-janeiro/blog/edimilson-avila/post/2026/06/22/classificados-do-edimilson-veja-as-vagas-de-emprego-da-semana-de-22-a-26-de-junho.ghtml,outros,100
Fotgrafo  sequestrado e queimado aps ser vtima de golpe do amor em SP,2026-06-22T10:10:00-03:00,SP / Osasco,https://redir.folha.com.br/redir/online/cotidiano/rss091/*https://www1.folha.uol.com.br/cotidiano/2026/06/fotografo-e-sequestrado-e-queimado-vitima-de-golpe-do-amor-em-sp.shtml,sequestro,95
Criança de 7 anos morre após ser baleada na cabeça em Nova Iguaçu; pai presta depoimento,2026-06-22T13:07:01+00:00,RJ / Nova Iguaçu,https://g1.globo.com/rj/rio-de-janeiro/noticia/2026/06/22/crianca-baleada-em-nova-iguacu.ghtml,homicidio,100
Bombeiro é encontrado esfaqueado na rua e morre após discussão com namorado da ex em SC,2026-06-22T13:06:18+00:00,SC / Palma Sola,https://g1.globo.com/sc/santa-catarina/noticia/2026/06/22/bombeiro-e-encontrado-esfaqueado-na-rua-e-morre-apos-discussao-com-namorado-da-ex-em-sc.ghtml,homicidio,100
"Adolescente é apreendido após ameaças, danos e roubo em Santa Maria do Oeste - Paraná Centro",2026-06-22T13:01:47+00:00,PR / Santa Maria do Oeste,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPQm1kSHN2UjhzX0hNNmZjZlViSEVIMDZXOWlQVDU0ellqaW5KaG14Y1NQblZaVEdua0ZJc0J6Y2JaNmlUT0xmczJmeDRnQkVWUG9YSmVFQXVUcVZ3eEdGWXBJZy0zNzVjX19wTUFxcEpJb253S1NxNzN4NDN5UXR1RW5zT3RGYVpEalNPc0tybnVTeUZfTHNCNng0Tms0a3J3eW5IRWJvV2pNYkZBUUpWbjFMSHBqMUZ2bkJQUDE1b215Zw?oc=5,menor,85
